Manager	Package	Version	ReleaseDate	Dependencies
r-conda	r-matrix	1.3_3	2021-05-19	libblas;libgcc-ng;liblapack;m2w64-gcc-libs;r-base;r-lattice
r-conda	r-matrixstats	0.58.0	2021-01-30	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-memoise	2.0.0	2021-01-26	r-base;r-cachem;r-rlang
r-conda	r-mgcv	1.8_35	2021-05-20	libblas;libgcc-ng;liblapack;llvm-openmp;m2w64-gcc-libs;r-base;r-matrix;r-nlme
r-conda	r-mime	0.10	2021-02-13	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-munsell	0.5.0	2018-06-12	r-base;r-colorspace
r-conda	r-nlme	3.1_152	2021-02-04	libgcc-ng;libgfortran;libgfortran-ng;libgfortran5;m2w64-gcc-libs;r-base;r-lattice
r-conda	r-nnet	7.3_16	2021-05-03	libgcc-ng;m2w64-gcc-libs;r-base;r-mass
r-conda	r-openxlsx	4.2.3	2020-10-27	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-rcpp;r-rlang;r-stringi;r-zip
r-conda	r-permute	0.9_5	2019-03-13	r-base
r-conda	r-pillar	1.6.1	2021-05-16	r-base;r-cli;r-crayon;r-ellipsis;r-fansi;r-lifecycle;r-rlang;r-utf8;r-vctrs
r-conda	r-pkgconfig	2.0.3	2019-09-22	r-base
r-conda	r-pkgload	1.2.1	2021-04-07	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-cli;r-crayon;r-desc;r-rlang;r-rprojroot;r-rstudioapi;r-withr
r-conda	r-pkgmaker	0.32.2	2020-10-21	r-assertthat;r-base;r-bibtex;r-codetools;r-digest;r-magrittr;r-registry;r-stringi;r-stringr;r-withr;r-xtable
r-conda	r-plogr	0.2.0	2018-07-10	r-base
r-conda	r-png	0.1_7	2017-04-24	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-poiclaclu	1.0.2.1	2021-06-02	r-base
r-conda	r-praise	1.0.0	2017-04-24	r-base
r-conda	r-processx	3.5.2	2021-04-30	libgcc-ng;m2w64-gcc-libs;r-base;r-ps;r-r6
r-conda	r-promises	1.2.0.1	2021-02-11	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-later;r-magrittr;r-r6;r-rcpp;r-rlang
r-conda	r-ps	1.6.0	2021-02-28	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-r.methodss3	1.8.1	2020-08-27	r-base
r-conda	r-r.oo	1.24.0	2020-08-27	r-base;r-r.methodss3
r-conda	r-r.utils	2.10.1	2020-08-27	r-base;r-r.methodss3;r-r.oo
r-conda	r-r6	2.5.0	2020-10-28	r-base
r-conda	r-rappdirs	0.3.3	2021-01-31	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-rcolorbrewer	1.1_2	2017-04-24	r-base
r-conda	r-rcpp	1.0.6	2021-01-15	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base
r-conda	r-rcpparmadillo	0.10.4.0.0	2021-04-13	libblas;libcxx;libgcc-ng;liblapack;libstdcxx-ng;llvm-openmp;m2w64-gcc-libs;r-base;r-rcpp
r-conda	r-rcurl	1.98_1.2	2020-04-18	libcurl;libgcc-ng;m2w64-curl;m2w64-gcc-libs;r-base;r-bitops
r-conda	r-registry	0.5_1	2019-06-19	r-base
r-conda	r-rematch2	2.1.2	2020-05-01	r-base;r-tibble
r-conda	r-remotes	2.3.0	2021-04-01	r-base
r-conda	r-rlang	0.4.11	2021-05-01	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-rngtools	1.5	2020-01-24	r-base;r-digest;r-pkgmaker;r-stringr
r-conda	r-rpart	4.1_15	2019-04-15	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-rprojroot	2.0.2	2020-11-15	r-backports;r-base
r-conda	r-rsqlite	2.2.5	2021-03-27	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-bit64;r-blob;r-dbi;r-memoise;r-pkgconfig;r-plogr;r-rcpp
r-conda	r-rstudioapi	0.13	2020-11-13	r-base
r-conda	r-samr	3.0	2019-05-02	bioconductor-impute;libgcc-ng;r-base;r-gsa;r-matrixstats;r-openxlsx;r-shiny;r-shinyfiles
r-conda	r-sass	0.4.0	2021-05-12	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-digest;r-fs;r-htmltools;r-r6;r-rappdirs;r-rlang
r-conda	r-scales	1.1.1	2020-05-13	r-base;r-farver;r-labeling;r-lifecycle;r-munsell;r-r6;r-rcolorbrewer;r-viridislite
r-conda	r-shiny	1.6.0	2021-01-26	r-base;r-bslib;r-cachem;r-commonmark;r-crayon;r-digest;r-ellipsis;r-fastmap;r-glue;r-htmltools;r-httpuv;r-jsonlite;r-later;r-lifecycle;r-mime;r-promises;r-r6;r-rlang;r-sourcetools;r-withr;r-xtable
r-conda	r-shinyfiles	0.9.0	2020-11-12	r-base;r-fs;r-htmltools;r-jsonlite;r-shiny;r-tibble
r-conda	r-snow	0.4_3	2018-09-29	r-base
r-conda	r-sourcetools	0.1.7	2018-09-05	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base
r-conda	r-stringi	1.4.6	2020-02-17	icu;libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;m2w64-icu;r-base
r-conda	r-stringr	1.4.0	2019-02-19	r-base;r-glue;r-magrittr;r-stringi
r-conda	r-survival	3.2_11	2021-04-26	libgcc-ng;m2w64-gcc-libs;r-base;r-matrix
r-conda	r-testthat	3.0.2	2021-02-14	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-brio;r-callr;r-cli;r-crayon;r-desc;r-digest;r-ellipsis;r-evaluate;r-jsonlite;r-lifecycle;r-magrittr;r-pkgload;r-praise;r-processx;r-ps;r-r6;r-rlang;r-waldo;r-withr
r-conda	r-tibble	3.1.2	2021-05-16	libgcc-ng;m2w64-gcc-libs;r-base;r-ellipsis;r-fansi;r-lifecycle;r-magrittr;r-pillar;r-pkgconfig;r-rlang;r-vctrs
r-conda	r-utf8	1.2.1	2021-03-13	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-vctrs	0.3.8	2021-04-29	libgcc-ng;m2w64-gcc-libs;r-backports;r-base;r-digest;r-ellipsis;r-glue;r-rlang;r-zeallot
r-conda	r-viridis	0.6.1	2021-05-11	r-base;r-ggplot2;r-gridextra;r-viridislite
r-conda	r-viridislite	0.4.0	2021-04-13	r-base
r-conda	r-waldo	0.2.5	2021-03-08	r-base;r-cli;r-diffobj;r-fansi;r-glue;r-rematch2;r-rlang;r-tibble
r-conda	r-withr	2.4.2	2021-04-18	r-base
r-conda	r-xfun	0.23	2021-05-16	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base
r-conda	r-xml	3.99_0.3	2020-01-20	libgcc-ng;libxml2;m2w64-gcc-libs;r-base
r-conda	r-xtable	1.8_4	2019-05-12	r-base
r-conda	r-yaml	2.2.1	2020-02-01	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-zip	2.1.1	2020-08-27	libgcc-ng;m2w64-gcc-libs;r-base
bioc-conda	bioconductor-annotate	1.64.0	2019-11-03	bioconductor-annotationdbi;bioconductor-biobase;bioconductor-biocgenerics;r-base;r-dbi;r-rcurl;r-xml;r-xtable
bioc-conda	bioconductor-annotationdbi	1.48.0	2019-11-02	bioconductor-biobase;bioconductor-biocgenerics;bioconductor-iranges;bioconductor-s4vectors;r-base;r-dbi;r-rsqlite
bioc-conda	bioconductor-beachmat	2.2.0	2019-11-01	bioconductor-biocgenerics;bioconductor-delayedarray;libcxx;libgcc-ng;libstdcxx-ng;r-base;r-matrix
bioc-conda	bioconductor-biocgenerics	0.32.0	2019-10-31	r-base
bioc-conda	bioconductor-biocparallel	1.20.0	2019-11-01	libcxx;libgcc-ng;libstdcxx-ng;r-base;r-bh;r-futile.logger;r-snow
bioc-conda	bioconductor-biostrings	2.54.0	2019-11-01	bioconductor-biocgenerics;bioconductor-iranges;bioconductor-s4vectors;bioconductor-xvector;libgcc-ng;r-base
bioc-conda	bioconductor-bsgenome	1.54.0	2019-11-04	bioconductor-biocgenerics;bioconductor-biostrings;bioconductor-genomeinfodb;bioconductor-genomicranges;bioconductor-iranges;bioconductor-rsamtools;bioconductor-rtracklayer;bioconductor-s4vectors;bioconductor-xvector;r-base
